Roll_Number,Age,Hostel ,Mess ,Department
201422649,28,Kadamba Nivas,Kadamba mess,Ph.D
201432634,23,Kadamba Nivas,Kadamba mess,MS by Research
201507602,25,Kadamba Nivas,Yuktahaar mess,MS by Research
20172067,24,Kadamba Nivas,Kadamba mess,MS by Research
201403009,21,Kadamba Nivas,Kadamba mess,B.Tech
2018802005,28,Kadamba Nivas,Kadamba mess,Ph.D
2019710005,24,Kadamba Nivas,Yuktahaar mess,MS by Research
201431202,20,Kadamba Nivas,Yuktahaar mess,B.Tech
2019900052,23,Kadamba Nivas,Yuktahaar mess,PGSSP
201356193,19,Kadamba Nivas,Kadamba mess,B.Tech
I-100748,24,Kadamba Nivas,Kadamba mess,Intern
I-100690,23,Kadamba Nivas,Yuktahaar mess,Intern
2018900050,24,Kadamba Nivas,Kadamba mess,MS by Research
2019102053,18,Kadamba Nivas,Yuktahaar mess,B.Tech
2019102052,19,Kadamba Nivas,Kadamba mess,B.Tech
201502168,19,Kadamba Nivas,Yuktahaar mess,B.Tech
2018701024,23,Kadamba Nivas,Kadamba mess,MS by Research
2018102032,21,Kadamba Nivas,Yuktahaar mess,B.Tech
2018122001,21,Kadamba Nivas,Kadamba mess,B.Tech
2018111018,21,Kadamba Nivas,Kadamba mess,B.Tech
2018702005,25,Kadamba Nivas,Kadamba mess,MS by Research
20172088,26,Kadamba Nivas,Yuktahaar mess,MS by Research
2018101101,18,Kadamba Nivas,Kadamba mess,B.Tech
2019701001,26,Kadamba Nivas,Kadamba mess,MS by Research
2018101099,21,Kadamba Nivas,Yuktahaar mess,B.Tech
2018101069,22,Kadamba Nivas,Kadamba mess,B.Tech
2018112001,21,Kadamba Nivas,Kadamba mess,B.Tech
201456113,21,Kadamba Nivas,Yuktahaar mess,B.Tech
2020701022,26,Kadamba Nivas,Kadamba mess,MS by Research
201402078,20,Kadamba Nivas,Kadamba mess,B.Tech
2020702006,25,Kadamba Nivas,Kadamba mess,MS by Research
2020701006,24,Kadamba Nivas,Kadamba mess,MS by Research
2020701025,27,Kadamba Nivas,Kadamba mess,MS by Research
20171103,20,Kadamba Nivas,Yuktahaar mess,B.Tech
2019702006,26,Kadamba Nivas,Yuktahaar mess,MS by Research
2019801003,28,Kadamba Nivas,Kadamba mess,Ph.D
2020900010,25,Kadamba Nivas,Yuktahaar mess,PGSSP
2019802001,29,Kadamba Nivas,Kadamba mess,Ph.D
20171151,20,Kadamba Nivas,Yuktahaar mess,B.Tech
2018701023,25,Kadamba Nivas,Kadamba mess,MS by Research
2019102037,21,Kadamba Nivas,Yuktahaar mess,B.Tech
201125172,19,Kadamba Nivas,Kadamba mess,B.Tech
2019702007,26,Kadamba Nivas,Kadamba mess,MS by Research
2018122010,22,Kadamba Nivas,Kadamba mess,B.Tech
20161202,21,Kadamba Nivas,Kadamba mess,B.Tech
2020701035,26,Kadamba Nivas,Yuktahaar mess,MS by Research
20161031,20,Kadamba Nivas,Kadamba mess,B.Tech
2019701011,23,Kadamba Nivas,Yuktahaar mess,MS by Research
2020702009,26,Kadamba Nivas,Yuktahaar mess,MS by Research
201202022,18,Kadamba Nivas,Kadamba mess,B.Tech
2019702004,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2018701010,24,Kadamba Nivas,Kadamba mess,MS by Research
2018702010,25,Kadamba Nivas,Kadamba mess,MS by Research
2019810001,27,Kadamba Nivas,Kadamba mess,Ph.D
2019900018,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2020701019,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2020701001,24,Kadamba Nivas,Yuktahaar mess,MS by Research
2020702013,26,Kadamba Nivas,Kadamba mess,MS by Research
2020702011,26,Kadamba Nivas,Kadamba mess,MS by Research
2020702010,26,Kadamba Nivas,Yuktahaar mess,MS by Research
2019701025,26,Kadamba Nivas,Yuktahaar mess,MS by Research
2020702007,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2020900015,26,Kadamba Nivas,Kadamba mess,PGSSP
2019701015,26,Kadamba Nivas,Yuktahaar mess,MS by Research
2019201089,25,Kadamba Nivas,Kadamba mess,MS by Research
20172147,30,Kadamba Nivas,Yuktahaar mess,Ph.D
2019701008,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2020702018,27,Kadamba Nivas,Kadamba mess,MS by Research
2020701017,27,Kadamba Nivas,Kadamba mess,MS by Research
2018702004,26,Kadamba Nivas,Kadamba mess,MS by Research
2018702008,28,Kadamba Nivas,Kadamba mess,MS by Research
2020701010,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2019702018,25,Kadamba Nivas,Yuktahaar mess,MS by Research
201302029,20,Kadamba Nivas,Kadamba mess,B.Tech
2019811001,28,Kadamba Nivas,Yuktahaar mess,Ph.D
2020701005,26,Kadamba Nivas,Kadamba mess,MS by Research
2019702005,26,Kadamba Nivas,Kadamba mess,MS by Research
2018900069,26,Kadamba Nivas,Yuktahaar mess,MS by Research
2020701024,26,Kadamba Nivas,Kadamba mess,MS by Research
2019701006,26,Kadamba Nivas,Kadamba mess,MS by Research
200902041,20,Kadamba Nivas,Kadamba mess,B.Tech
2019701014,26,Kadamba Nivas,Yuktahaar mess,MS by Research
2018702006,26,Kadamba Nivas,Kadamba mess,MS by Research
2020702023,26,Kadamba Nivas,Kadamba mess,MS by Research
2018701019,26,Kadamba Nivas,Kadamba mess,MS by Research
2018701015,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2020710001,24,Kadamba Nivas,Yuktahaar mess,MS by Research
2020702004,26,Kadamba Nivas,Kadamba mess,MS by Research
2020702001,27,Kadamba Nivas,Yuktahaar mess,MS by Research
2020702017,28,Kadamba Nivas,Kadamba mess,MS by Research
2018701012,30,Kadamba Nivas,Kadamba mess,MS by Research
2019702016,25,Kadamba Nivas,Kadamba mess,MS by Research
2020101058,19,Kadamba Nivas,Kadamba mess,B.Tech
2020102063,19,Kadamba Nivas,Kadamba mess,B.Tech
2020101104,20,Kadamba Nivas,Kadamba mess,B.Tech
2020102062,18,Kadamba Nivas,Kadamba mess,B.Tech
I-100759,24,Kadamba Nivas,Yuktahaar mess,Intern
20171087,20,Kadamba Nivas,Kadamba mess,B.Tech
20171038,21,Kadamba Nivas,Kadamba mess,B.Tech
2020701027,25,Kadamba Nivas,Yuktahaar mess,MS by Research
2019701010,24,Kadamba Nivas,Kadamba mess,MS by Research
20171116,21,Kadamba Nivas,Kadamba mess,B.Tech
20162049,23,Kadamba Nivas,Kadamba mess,MS by Research
20162311,26,Kadamba Nivas,Yuktahaar mess,Ph.D
2019701003,25,Kadamba Nivas,Kadamba mess,MS by Research
20172153,29,Kadamba Nivas,Kadamba mess,Ph.D
I-100769,23,Kadamba Nivas,Kadamba mess,Intern
2020101106,20,Kadamba Nivas,Yuktahaar mess,B.Tech
201502059,19,Kadamba Nivas,Yuktahaar mess,B.Tech
20172148,30,Kadamba Nivas,Kadamba mess,Ph.D
2020111022,21,Kadamba Nivas,Kadamba mess,B.Tech
2019702017,24,Kadamba Nivas,Kadamba mess,MS by Research
2018701007,25,Kadamba Nivas,Yuktahaar mess,MS by Research
200999003,28,Parijat Nivas,Yuktahaar mess,Ph.D
20172078,29,Parijat Nivas,Kadamba mess,Ph.D
20172157,23,Parijat Nivas,Yuktahaar mess,MS by Research
2019702008,25,Parijat Nivas,Kadamba mess,MS by Research
2018113004,20,Parijat Nivas,Kadamba mess,B.Tech
2018101118,19,Parijat Nivas,Kadamba mess,B.Tech
2018122007,19,Parijat Nivas,Kadamba mess,B.Tech
2020702021,25,Parijat Nivas,Kadamba mess,MS by Research
2018701020,25,Parijat Nivas,Kadamba mess,MS by Research
201256138,21,Parijat Nivas,Kadamba mess,B.Tech
2020101098,21,Parijat Nivas,Yuktahaar mess,B.Tech
2020101101,18,Parijat Nivas,Kadamba mess,B.Tech
20171027,17,Parijat Nivas,Kadamba mess,B.Tech
2018101116,21,Parijat Nivas,Kadamba mess,B.Tech
20161167,20,Parijat Nivas,Kadamba mess,B.Tech
20161224,20,Parijat Nivas,Kadamba mess,B.Tech
2019101100,20,Parijat Nivas,Yuktahaar mess,B.Tech
2019101102,19,Parijat Nivas,Kadamba mess,B.Tech
2019101098,20,Parijat Nivas,Yuktahaar mess,B.Tech
2019702001,25,Parijat Nivas,Yuktahaar mess,MS by Research
2019701020,26,Parijat Nivas,Kadamba mess,MS by Research
2018701008,24,Parijat Nivas,Yuktahaar mess,MS by Research
2020702005,24,Parijat Nivas,Kadamba mess,MS by Research
2020702020,28,Parijat Nivas,Kadamba mess,MS by Research
2019801006,30,Parijat Nivas,Kadamba mess,Ph.D
201556206,20,Parijat Nivas,Yuktahaar mess,B.Tech
2019900003,26,Parijat Nivas,Yuktahaar mess,MS by Research
2019701005,26,Parijat Nivas,Yuktahaar mess,MS by Research
2020810001,26,Parijat Nivas,Yuktahaar mess,Ph.D
2019701024,25,Parijat Nivas,Kadamba mess,MS by Research
2018102048,21,Parijat Nivas,Kadamba mess,B.Tech
20161048,20,Parijat Nivas,Yuktahaar mess,B.Tech
2020801007,29,Parijat Nivas,Kadamba mess,Ph.D
2020701013,25,Parijat Nivas,Yuktahaar mess,MS by Research
2019702002,25,Parijat Nivas,Kadamba mess,MS by Research
I-100757,23,Parijat Nivas,Yuktahaar mess,Project Interns
20161231,20,Parijat Nivas,Kadamba mess,B.Tech
2019101055,20,Parijat Nivas,Yuktahaar mess,B.Tech
201402222,21,Parijat Nivas,Kadamba mess,B.Tech
20161004,20,Parijat Nivas,Kadamba mess,B.Tech
2019702014,26,Parijat Nivas,Kadamba mess,MS by Research
2018802008,29,Parijat Nivas,Kadamba mess,Ph.D
20161160,20,Parijat Nivas,Kadamba mess,B.Tech
2019701007,25,Parijat Nivas,Kadamba mess,MS by Research
201556003,21,Parijat Nivas,Yuktahaar mess,B.Tech
2019710004,26,Parijat Nivas,Kadamba mess,MS by Research
2020702015,25,Parijat Nivas,Kadamba mess,MS by Research
2020812001,29,Parijat Nivas,Kadamba mess,Ph.D
2019121004,20,Parijat Nivas,Kadamba mess,B.Tech
2019101104,21,Parijat Nivas,Kadamba mess,B.Tech
2020102061,19,Parijat Nivas,Yuktahaar mess,B.Tech
2020101103,20,Parijat Nivas,Kadamba mess,B.Tech
I-100760,23,Parijat Nivas,Yuktahaar mess,Intern
2020101107,22,Parijat Nivas,Kadamba mess,B.Tech
2018701002,28,Parijat Nivas,Kadamba mess,MS by Research
201556143,20,Parijat Nivas,Kadamba mess,B.Tech
2019111035,19,Parijat Nivas,Yuktahaar mess,B.Tech
I-100763,23,Parijat Nivas,Yuktahaar mess,intern
I-100764,23,Parijat Nivas,Kadamba mess,Intern
I-100768,25,Parijat Nivas,Kadamba mess,Intern
2020702012,24,Parijat Nivas,Kadamba mess,MS by Research
2020201056,26,Parijat Nivas,Yuktahaar mess,M.Tech
201516045,20,Parijat Nivas,Yuktahaar mess,B.Tech
20171095,20,Parijat Nivas,Kadamba mess,B.Tech
2020201063,26,Parijat Nivas,Yuktahaar mess,M.Tech
2019113006,21,Parijat Nivas,Kadamba mess,B.Tech
20172145,31,Parijat Nivas,Kadamba mess,Ph.D
2020102012,20,Parijat Nivas,Kadamba mess,B.Tech
20171165,18,Parijat Nivas,Kadamba mess,B.Tech
20171006,20,Parijat Nivas,Kadamba mess,B.Tech
2019122001,20,Parijat Nivas,Kadamba mess,B.Tech
20171137,20,Parijat Nivas,Kadamba mess,B.Tech
20171175,19,Parijat Nivas,Yuktahaar mess,B.Tech
20171111,19,Parijat Nivas,Kadamba mess,B.Tech
2018101112,19,Parijat Nivas,Kadamba mess,B.Tech
2018101115,20,Parijat Nivas,Kadamba mess,B.Tech
2018711001,26,Parijat Nivas,Kadamba mess,MS by Research
2018101093,21,Parijat Nivas,Kadamba mess,B.Tech
2018802001,28,Parijat Nivas,Yuktahaar mess,Ph.D
2020201048,26,Parijat Nivas,Kadamba mess,M.Tech
2018101050,20,Parijat Nivas,Yuktahaar mess,B.Tech
20171135,20,Parijat Nivas,Yuktahaar mess,B.Tech
201402182,22,Parijat Nivas,Kadamba mess,Dual Degree
Project Staff,26,Parijat Nivas,Yuktahaar mess,TSIC
2018101090,20,Palash Nivas,South Mess,B.Tech
2018111025,21,Palash Nivas,South Mess,B.Tech
2019201011,26,Palash Nivas,South Mess,M.Tech
2020102058,20,Palash Nivas,South Mess,B.Tech
2018121004,19,Palash Nivas,South Mess,B.Tech
201502183,21,Palash Nivas,South Mess,B.Tech
2019102026,21,Palash Nivas,South Mess,B.Tech
2018114012,21,Palash Nivas,South Mess,B.Tech
2019201049,26,Palash Nivas,South Mess,M.Tech
20171130,21,Palash Nivas,South Mess,B.Tech
20161081,20,Palash Nivas,South Mess,B.Tech
2018102003,19,Palash Nivas,South Mess,B.Tech
2018102001,20,Palash Nivas,South Mess,B.Tech
2018111017,20,Palash Nivas,South Mess,B.Tech
20161122,19,Palash Nivas,South Mess,B.Tech
201256067,19,Palash Nivas,South Mess,B.Tech
20161220,20,Palash Nivas,South Mess,B.Tech
20161020,21,Palash Nivas,South Mess,B.Tech
20161192,18,Palash Nivas,South Mess,B.Tech
20161211,20,Palash Nivas,South Mess,B.Tech
2018102047,21,Palash Nivas,South Mess,B.Tech
20171013,22,Palash Nivas,South Mess,B.Tech
2019102039,21,Palash Nivas,South Mess,B.Tech
20161163,21,Palash Nivas,South Mess,B.Tech
2019102033,21,Palash Nivas,South Mess,B.Tech
2019102038,21,Palash Nivas,South Mess,B.Tech
2019112025,22,Palash Nivas,South Mess,B.Tech
2019112011,20,Palash Nivas,South Mess,B.Tech
20171402,21,Palash Nivas,South Mess,B.Tech
2018114008,21,Palash Nivas,South Mess,B.Tech
20161028,21,Palash Nivas,South Mess,B.Tech
20171405,19,Palash Nivas,South Mess,B.Tech
2018114014,20,Palash Nivas,South Mess,B.Tech
2018112005,20,Palash Nivas,South Mess,B.Tech
20161063,21,Palash Nivas,South Mess,B.Tech
20171311,22,Palash Nivas,South Mess,ECD
201516174,25,Palash Nivas,South Mess,BSL
20171035,25,Palash Nivas,South Mess,CVIT
2018111028,21,Palash Nivas,South Mess,B.Tech
20161237,22,Palash Nivas,South Mess,CED
2018111001,23,Palash Nivas,South Mess,CSD
2171157,22,Palash Nivas,South Mess,ECD
20161088,23,Palash Nivas,South Mess,CSD
2018114017,21,Palash Nivas,South Mess,CLD
2018111024,22,Palash Nivas,South Mess,CSD
20171132,20,Palash Nivas,South Mess,CSE
201531085,21,Palash Nivas,South Mess,ECD
201564223,21,Palash Nivas,South Mess,CND
20171060,21,Palash Nivas,South Mess,CND
20171148,21,Palash Nivas,South Mess,CND
20171177,22,Palash Nivas,South Mess,CND
2018113007,23,Palash Nivas,South Mess,CND
2019121011,22,Palash Nivas,South Mess,LCD
20171007,21,Palash Nivas,South Mess,CSD
20171144,21,Palash Nivas,South Mess,CSE
20171194,22,Palash Nivas,South Mess,CND
201814026,21,Palash Nivas,South Mess,CSD
2020102025,22,Palash Nivas,South Mess,ECE
2018101108,21,Palash Nivas,South Mess,CSE
2018111003,21,Palash Nivas,South Mess,CSD
2018114005,22,Palash Nivas,South Mess,CLD
2018101077,20,Palash Nivas,South Mess,CSE
2018101073,21,Palash Nivas,South Mess,CSE
2018101075,20,Palash Nivas,South Mess,CSE
2018101025,21,Palash Nivas,South Mess,CSE
2018111027,22,Palash Nivas,South Mess,CSD
20171129,21,Palash Nivas,South Mess,CSD
202020100,25,Palash Nivas,South Mess,M.Tech
2018111007,23,Palash Nivas,South Mess,CSD
202012014,21,Palash Nivas,South Mess,ECE
2020201038,22,Palash Nivas,South Mess,CSE
2018102029,21,Palash Nivas,South Mess,ECE
2020202001,25,Palash Nivas,South Mess,M.Tech
201912020,21,Palash Nivas,South Mess,ECE
2018102034,20,Palash Nivas,South Mess,ECE
20171052,21,Palash Nivas,South Mess,CSE
20171042,20,Palash Nivas,South Mess,ECE
20171211,22,Palash Nivas,South Mess,ECD
20171084,21,Palash Nivas,South Mess,CSE
20171172,21,Palash Nivas,South Mess,ECE
20171067,21,Palash Nivas,South Mess,CSE
20171138,21,Palash Nivas,South Mess,CSE
20171136,21,Palash Nivas,South Mess,ECE
20171049,20,Palash Nivas,South Mess,ECE
20171213,20,Palash Nivas,South Mess,CSE
20171185,20,Palash Nivas,South Mess,CSE
20171020,21,Palash Nivas,South Mess,CND
20171205,21,Palash Nivas,South Mess,ECE
2018101088,21,Palash Nivas,South Mess,CSE
2018111011,23,Palash Nivas,South Mess,CSD
2018114009,24,Palash Nivas,South Mess,CLD
2018102022,21,Palash Nivas,South Mess,Project Interns
2018111008,23,Palash Nivas,South Mess,Project Interns
201525177,22,Palash Nivas,South Mess,CLD
2018101078,21,Palash Nivas,South Mess,CSE
2018101100,20,Palash Nivas,South Mess,CSE
2018111006,22,Palash Nivas,South Mess,CSD
20171048,21,Palash Nivas,South Mess,CSE
2018101085,21,Palash Nivas,South Mess,CSE
Project Staff,23,Palash Nivas,South Mess,Project Interns
Project Staff,25,Palash Nivas,South Mess,Project Interns
Project Staff,24,Palash Nivas,South Mess,Project Interns
Project Staff,23,Palash Nivas,South Mess,Project Interns
CIvil Staff,31,Palash Nivas,South Mess,civil staff
Project Staff,22,Palash Nivas,South Mess,Project Interns
Project Staff,21,Palash Nivas,South Mess,Project Interns
Project Staff,22,Palash Nivas,South Mess,Project Interns
Project Staff,23,Palash Nivas,South Mess,Project Interns
Project Staff,24,Palash Nivas,South Mess,intern
Project Staff,21,Palash Nivas,South Mess,B.Tec EcE
Project Staff,22,Palash Nivas,South Mess,B tech
Project Staff,23,Palash Nivas,South Mess,ECD
Project Staff,24,Palash Nivas,South Mess,Project Intern
Project Staff,25,Palash Nivas,South Mess,Project Intern
Project Staff,22,Palash Nivas,South Mess,CSD
Project Staff,21,Palash Nivas,South Mess,CSE
2019201036,25,Palash Nivas,South Mess,M-Tech
2019201067,26,Palash Nivas,South Mess,M-Tech
2019201014,26,Palash Nivas,South Mess,M-Tech
2018122002,25,Palash Nivas,South Mess,MS ECO
20171182,21,Palash Nivas,South Mess,B-Tech
20171105,20,Palash Nivas,South Mess,B-Tech
201921029,25,Palash Nivas,South Mess,M-Tech
2019201080,26,Palash Nivas,South Mess,M-Tech
2019201007,25,Palash Nivas,South Mess,M-Tech
2019201060,28,Palash Nivas,South Mess,M-Tech
2019210016,24,Palash Nivas,South Mess,M-Tech
20171110,20,Palash Nivas,South Mess,B-Tech
20171125,21,Palash Nivas,South Mess,B-Tech
20171160,21,Palash Nivas,South Mess,B-Tech
20171039,21,Palash Nivas,South Mess,B-Tech
20171178,20,Palash Nivas,South Mess,B-Tech
