Hostel Name,01/03/21,02/03/21,03/03/21,04/03/21,05/03/21,06/03/21,07/03/21,08/03/21,09/03/21,10/03/21,11/03/21,12/03/21,13/03/21,14/03/21,15/03/21,16/03/21,17/03/21,18/03/21,19/03/21,20/03/21,21/03/21,22/03/21,23/03/21,24/03/21,25/03/21,26/03/21,27/03/21,28/03/21,29/03/21,30/03/21,31/03/21,01/04/21,02/04/21,03/04/21,04/04/21,05/04/21,06/04/21,07/04/21,08/04/21,09/04/21,10/04/21,11/04/21,12/04/21,13/04/21,14/04/21,15/04/21,16/04/21,17/04/21,18/04/21,19/04/21,20/04/21,21/04/21,22/04/21,23/04/21,24/04/21,25/04/21,26/04/21,27/04/21,28/04/21,29/04/21,30/04/21,01/05/21,02/05/21,03/05/21,04/05/21,05/05/21,06/05/21,07/05/21,08/05/21,09/05/21,10/05/21,11/05/21,12/05/21,13/05/21,14/05/21,15/05/21,16/05/21,17/05/21,18/05/21,19/05/21,20/05/21,21/05/21,22/05/21,23/05/21,24/05/21,25/05/21,26/05/21,27/05/21,28/05/21,29/05/21,30/05/21,31/05/21
B1,73,78,88,97,97,97,97,97,98,98,97,97,103,106,113,111,111,111,111,111,111,111,111,111,109,115,118,119,120,120,118,119,117,116,116,116,113,112,113,112,111,110,111,110,111,111,111,111,109,110,110,109,107,105,105,104,98,95,96,95,95,97,96,96,97,92,92,91,92,91,91,91,90,90,91,91,91,91,87,80,76,72,71,67,66,61,59,55,52,46,46,44
B2,113,115,144,150,153,155,154,155,155,156,156,155,163,172,172,171,171,171,171,171,169,170,170,169,169,175,180,178,179,179,179,180,173,169,168,164,164,163,163,156,156,153,153,154,156,159,167,168,167,167,168,168,164,163,162,161,157,155,155,152,151,151,150,151,149,150,149,146,138,135,127,127,125,126,128,124,124,123,126,126,123,127,128,129,130,129,129,126,124,123,122,122
B3,77,77,80,84,85,85,84,85,84,84,84,84,84,85,85,87,87,87,87,87,86,86,86,85,84,83,83,84,84,86,86,86,81,80,78,76,75,74,75,73,73,70,66,64,63,64,63,63,64,65,65,65,65,64,65,65,66,66,66,64,63,61,62,61,58,58,58,58,55,55,54,54,54,53,54,54,54,55,56,57,57,55,53,52,51,51,52,48,48,49,49,49
B5,78,79,81,94,94,93,93,93,93,93,93,93,94,94,98,99,97,97,96,98,98,98,96,103,103,122,127,130,130,129,129,129,129,129,129,128,123,123,122,120,115,112,107,106,107,108,108,107,107,106,104,104,104,97,96,96,95,96,95,96,93,90,88,86,85,85,92,92,92,90,87,85,85,83,85,91,87,83,83,83,81,76,77,76,74,75,74,70,70,72,72,72
G1,62,55,28,37,38,35,35,35,34,33,33,32,23,24,28,35,36,37,38,43,43,39,39,23,17,14,11,9,9,8,3,2,9,9,16,14,14,14,15,13,13,13,10,5,3,3,3,3,3,2,2,1,3,3,4,4,5,5,7,9,9,9,3,4,3,4,4,5,6,6,8,6,6,5,4,4,3,3,2,1,1,1,0,1,1,0,4,0,0,0,0,0
G2,136,135,118,93,100,112,113,113,113,113,113,110,76,80,62,66,84,90,93,97,100,100,100,84,80,45,33,25,24,15,14,11,11,17,18,19,21,17,13,12,12,9,11,6,6,6,7,8,5,7,11,11,14,11,12,10,9,7,6,10,12,16,12,4,4,4,4,5,8,10,10,11,7,9,8,7,7,6,1,1,1,1,2,2,2,2,2,2,2,1,1,1
G3,8,10,11,8,9,13,14,14,13,13,13,15,13,14,13,12,11,11,9,9,9,7,7,8,8,6,8,10,10,17,17,30,38,52,53,54,53,53,57,61,65,60,55,61,47,30,30,29,32,29,29,25,32,44,36,35,40,40,39,37,35,35,53,55,54,54,26,23,21,28,46,48,58,54,51,45,46,49,48,44,44,28,25,24,23,21,21,20,16,14,15,14
G4,42,46,56,58,58,59,59,58,59,59,58,59,63,64,64,66,66,66,65,65,65,64,64,80,81,82,83,83,83,83,83,83,83,79,79,76,76,76,74,69,66,64,64,64,67,69,68,67,67,67,67,68,67,65,64,62,61,60,60,60,59,59,55,53,53,52,52,52,51,51,50,49,49,49,49,49,47,45,45,45,43,42,43,43,43,42,42,42,42,41,41,41
G5,96,99,123,128,128,128,128,128,128,128,128,128,142,143,162,167,167,167,167,167,167,167,166,166,168,171,161,156,154,154,147,146,145,142,137,137,137,135,135,132,129,131,116,117,122,127,124,119,119,118,118,117,117,118,117,115,114,114,114,114,114,114,114,111,111,110,110,109,111,106,102,102,100,100,99,99,99,99,101,103,103,104,107,106,105,106,106,105,105,104,104,105
G6,96,103,130,132,131,131,131,131,131,131,131,132,143,167,171,169,170,170,170,169,168,168,168,168,168,154,138,137,126,121,120,118,107,102,100,102,105,105,104,101,99,103,102,107,116,115,112,112,112,109,108,108,104,101,102,101,101,101,103,101,101,99,99,99,97,101,102,103,103,99,99,99,99,99,99,99,99,98,97,97,97,101,98,97,97,96,96,97,96,96,96,96
I2,75,75,75,87,94,95,95,95,95,94,93,93,97,97,100,102,102,102,103,103,101,101,101,107,108,118,136,138,139,137,138,137,130,129,129,126,122,120,121,116,109,105,105,97,95,95,94,94,92,91,91,91,88,77,82,81,80,78,77,77,77,77,77,77,77,77,95,96,96,96,94,93,93,93,92,92,89,89,89,89,86,83,82,82,78,72,71,71,70,71,71,71